Sample ID,Transect,Altitude,lat,lon,15N,13C
San Pedro PT3,Atacama,"1722,554932","-22,85","-69,26","13,55","-24,87"
San Pedro PT7,Atacama,"2734,33","-23,52","-67,97","2,92","-25,42"
Chimba PT10,Atacama,"265,69","-23,5","-70,54","12,88","-18,55"
Arica PT9,Arica,"3572,12","-18,36","-69,56","6,38","-24,64"
Arica PT1,Arica,"2,53","-18,4","-70,34","-1,04","-23,16"
Elqui PT4,Elqui,"1276,03","-29,87","-70,35","10,81","-26,07"
Maule PT3,Maule,"1524,04","-35,94","-70,61","1,11","-26,85"
PT5,Santiago,798,"-33,59","-70,53","2,5","-27,97"
PT9,Santiago,"1560,81","-33,83","-70,08","2,79","-30,54"
Maule PT6,Maule,"738,89","-35,8","-70,91","3,27","-24,25"
Arica PT8,Arica,"3826,62","-18,34","-69,53","8,6","-19,68"
San Pedro PT1,Atacama,"4271,71","-23,87","-67,54","0,16","-26,9"
Arica PT7,Arica,"4038,35","-18,34","-69,53","19,03","-16,01"
PT1,Santiago,"116,44","-33,8","-71,11","0,9","-23,15"
Elqui PT11,Elqui,"858,34","-29,97","-70,56","4,34","-25,42"
Elqui PT10,Elqui,"1081,84","-30,07","-70,5","2,3","-27,02"
Calama PT13,Atacama,"1722,55","-22,85","-69,26","0,26","-28,6"
San Pedro PT2,Atacama,"4009,51","-23,93","-67,64","1,96","-28,64"
Baquedano PT11,Atacama,"933,32","-23,38","-69,93","-3,38",-29
Elqui PT3,Elqui,1561,"-29,87","-70,36","-0,08","-28,45"
San Pedro PT14,Atacama,"1990,76","-22,7","-69,19","5,41","-23,67"
Elqui PT7,Elqui,"3162,12","-30,2","-70,04","2,19","-28,06"
Elqui PT12,Elqui,"567,3","-30,04","-70,82","6,74","-27,98"
San Pedro PT15,Atacama,"2348,85","-22,87","-68,3","0,23","-29,43"
Juan Lopez PT9,Atacama,"50,35","-22,09","-70,16","8,99","-30,52"
PT10,Santiago,"1000,61","-33,68","-70,34","2,57","-26,96"
San Pedro PT5,Atacama,"3192,16","-23,58","-67,9","6,59","-25,16"
PT2,Santiago,"225,79","-33,82","-71,05","2,59","-29,63"
Maule PT5,Maule,"453,62","-35,71","-71,08","3,21","-25,94"
Elqui PT2,Elqui,"1777,59","-29,97","-70,2","1,01","-30,01"
San Pedro PT8,Atacama,"2510,59","-23,44",-68,"3,7","-28,35"
Arica PT2,Arica,"4332,03","-18,17","-69,43","5,48","-26,28"
Maule PT2,Maule,"1979,465332","-35,97034603","-70,56827847","0,48","-26,65"
PT4,Santiago,831,"-33,596336","-70,47","0,79","-27,64"
Maule PT8,Maule,"284,91","-35,58","-71,39","4,3","-28,5"
Arica PT11,Arica,"3081,61","-18,5","-69,53","11,54","-22,05"
Maule PT7,Maule,"990,28","-35,82","-70,78","0,42","-27,04"
Elqui PT5,Elqui,"3536,31","-30,26","-69,94","3,46","-25,86"
Maule PT1,Maule,"2137,6","-35,99","-70,56","-10,03","-29,64"
PT8,Santiago,"1894,39","-33,83","-70,05","3,21","-26,27"
Elqui PT9,Elqui,"2552,17","-30,11","-70,07","0,57","-27,56"
Elqui PT6,Elqui,"3326,02","-30,27","-69,97","6,88","-25,62"
Elqui PT8,Elqui,"2821,33","-30,18","-70,05","4,05","-26,86"
Arica PT10,Arica,"3251,28","-18,37","-69,56","6,51","-24,04"
Maule PT4,Maule,"1247,43","-35,88","-70,67","1,42","-28,95"
